SERIALS,/test/edit_jan_14_CogentCom,/test/edit_jan_14_verisign_j,/test/edit_jan_14_RIPE,/test/edit_jan_14_ICANN,/test/edit_jan_14_NASA,/test/edit_jan_14_Netnod,/test/edit_jan_14_USDD,/test/edit_jan_14_ISC,/test/edit_jan_14_Army,/test/edit_jan_14_UM,/test/edit_jan_14_verisign_a,/test/edit_jan_14_USC,/test/edit_jan_14_WIDE
Delta,0,2.889362000001711,2.889562999996997,2.8998369999972056,2.9064300000027288,2.9128899999996065,2.919099999999162,2.921184999999241,2.9295060000004014,2.9403460000030464,63.0079160000023,123.14010099999723,336.0308670000013
,,
Name,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:29:42.89993,22:29:43.00278,22:29:43.130303,22:29:49.466258,22:30:0.80819,22:30:12.951448,22:30:12.955437,22:30:12.962464,22:30:12.968268,22:30:15.076001,22:30:43.883441,22:32:15.942067,22:39:16.765712
Delta,0,0.10284999999566935,0.23037299999850802,6.566328000000794,17.908259999996517,30.05151800000749,30.055506999997306,30.06253399999696,30.06833799999731,32.17607099999441,60.98351099999854,153.04213699999673,573.8657819999935
,,
Name,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,12:24:25.946926,12:24:25.957625,12:24:25.961655,12:24:25.96578,12:24:25.967104,12:24:25.969638,12:24:25.972067,12:24:32.943861,12:24:51.919191,12:24:56.000243,12:25:56.10355,12:26:56.25379,12:27:56.35443
Delta,0,0.010699000005843118,0.014729000002262183,0.018854000001738314,0.02017800000612624,0.022712000005412847,0.025141000005532987,6.99693500000285,25.972265000003972,30.053317000005336,90.15662400000292,150.3068640000056,210.40750400000252
,,
Name,./test/edit_jan_14_USC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,15:15:4.347748,15:15:15.025972,15:15:15.027013,15:15:15.028137,15:15:15.030553,15:15:15.043941,15:15:15.072953,15:15:15.098529,15:15:15.21929,15:15:18.903247,15:15:45.09213,15:17:15.289023,15:30:52.932703
Delta,0,10.678224000002956,10.67926499999885,10.680389000001014,10.682804999996733,10.696193000003404,10.725205000002461,10.750781000002462,10.871542000000773,14.555499000001873,40.74438199999713,130.9412749999974,948.5849549999984
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:45:20.366631,22:45:21.994573,22:45:21.997289,22:45:22.00578,22:45:22.021918,22:45:22.023728,22:45:22.030596,22:45:22.042682,22:45:25.920656,22:45:52.039478,22:45:52.039705,22:47:52.272788,22:54:24.075172
Delta,0,1.627942000006442,1.6306580000091344,1.6391490000096383,1.6552870000014082,1.6570970000029774,1.6639649999997346,1.6760510000021895,5.554025000004913,31.672847000008915,31.673074000005727,151.9061570000049,543.708541
,,
Name,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,13:7:0.564185,13:7:0.567616,13:7:0.614313,13:7:0.726266,13:7:0.744691,13:7:1.015455,13:7:1.613112,13:7:30.613287,13:7:30.620927,13:7:30.629571,13:8:0.656386,13:9:30.888583,13:10:0.913637
Delta,0,0.00343099999736296,0.050127999995311256,0.16208099999494152,0.18050599999696715,0.4512699999977485,1.0489269999961834,30.04910199999722,30.056742000000668,30.06538599999476,60.09220099999948,150.32439799999702,180.34945199999493
,,
Name,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:38:31.917711,22:38:31.920286,22:38:31.940661,22:38:31.943084,22:38:31.945506,22:38:31.946542,22:38:31.972305,22:38:31.988667,22:38:32.471196,22:38:36.855168,22:39:1.959004,22:40:32.170647,22:57:40.034164
Delta,0,0.0025749999913387,0.022949999998672865,0.02537299999676179,0.02779500000178814,0.028831000003265217,0.054594000001088716,0.07095599999593105,0.5534849999967264,4.937456999992719,30.041293000002042,120.25293600000441,1148.116452999995
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,12:46:6.752215,12:46:16.929034,12:46:16.932048,12:46:16.932897,12:46:16.935773,12:46:16.945193,12:46:16.950783,12:46:16.972967,12:46:16.980075,12:46:17.016754,12:46:46.992098,12:48:17.162134,12:56:50.015817
Delta,0,10.17681900000025,10.179833000001963,10.180681999998342,10.183557999996992,10.19297799999913,10.198567999999796,10.220752000001085,10.227859999999055,10.264538999996148,40.23988300000201,130.4099189999979,643.2636019999991
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,22:34:53.417338,22:35:9.315267,22:35:9.31887,22:35:9.326134,22:35:9.327564,22:35:9.385466,22:35:9.445135,22:35:9.587023,22:35:14.890348,22:35:39.361625,22:35:39.361814,22:37:39.715132,22:44:41.309099
Delta,0,15.89792899999884,15.901532000003499,15.908796000003349,15.910226000007242,15.96812800000771,16.027797000002465,16.169685000000754,21.473010000001523,45.944287000005716,45.944476000004215,166.29779399999825,587.8917610000062
,,
Name,./test/edit_jan_14_WIDE.txt,./test/edit_jan_14_UM.txt,./test/edit_jan_14_RIPE.txt,./test/edit_jan_14_verisign_j.txt,./test/edit_jan_14_verisign_a.txt,./test/edit_jan_14_CogentCom.txt,./test/edit_jan_14_Netnod.txt,./test/edit_jan_14_Army.txt,./test/edit_jan_14_USDD.txt,./test/edit_jan_14_USC.txt,./test/edit_jan_14_ISC.txt,./test/edit_jan_14_ICANN.txt,./test/edit_jan_14_NASA.txt
Time,15:25:52.055092,15:25:57.399947,15:25:57.404012,15:25:57.409276,15:25:57.430753,15:25:57.475505,15:25:57.479091,15:25:57.55448,15:25:57.607268,15:25:57.808074,15:26:27.454085,15:28:27.949325,15:31:28.867623
Delta,0,5.344854999995732,5.348919999996724,5.354183999996167,5.3756609999982174,5.420412999999826,5.42399899999873,5.499387999996543,5.5521759999974165,5.7529819999981555,35.398992999995244,155.89423299999908,336.81253099999594
,,
,,
,,
,,
